rank,prev_rank,name,league,off,def,spi
86,85,FC Cologne,German Bundesliga,1.83,1.07,62.82
87,83,Watford,English League Championship,1.65,0.92,62.8
88,97,Braga,Portuguese Liga,1.79,1.05,62.61
89,86,Alavés,Spanish Primera Division,1.58,0.87,62.38
90,89,PSV,Dutch Eredivisie,1.86,1.12,62.3
91,95,Udinese,Italy Serie A,1.61,0.92,62.02
92,110,Sampdoria,Italy Serie A,1.77,1.06,62
93,98,Grêmio,Brasileiro Série A,1.58,0.9,61.89
94,94,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
95,96,Sporting CP,Portuguese Liga,1.6,0.92,61.77
96,91,Spartak Moscow,Russian Premier Liga,1.6,0.93,61.7
97,90,São Paulo,Brasileiro Série A,1.45,0.8,61.58
98,101,Fulham,Barclays Premier League,1.69,1.01,61.47
99,104,Lokomotiv Moscow,Russian Premier Liga,1.46,0.82,61.25
100,93,Espanyol,Spanish Segunda Division,1.55,0.9,61.15
101,92,Montpellier,French Ligue 1,1.62,0.98,60.75
102,88,Lens,French Ligue 1,1.61,0.97,60.62
103,113,Elche,Spanish Primera Division,1.58,0.96,60.3
104,105,Boca Juniors,Argentina Primera Division,1.47,0.87,60.25
105,109,Brentford,English League Championship,1.62,1,60.23
106,114,Internacional,Brasileiro Série A,1.47,0.87,60.15
107,100,Atletico Mineiro,Brasileiro Série A,1.71,1.08,60.12
108,112,Norwich City,English League Championship,1.67,1.05,60.1
109,103,Bordeaux,French Ligue 1,1.43,0.84,60.07
110,102,PAOK Salonika,Greek Super League,1.45,0.86,59.84
111,126,Nice,French Ligue 1,1.63,1.04,59.43
112,106,AEK Athens,Greek Super League,1.51,0.94,59.37
113,115,Basel,Swiss Raiffeisen Super League,1.85,1.24,59.36
114,121,Verona,Italy Serie A,1.54,0.97,59.33
115,116,Arminia Bielefeld,German Bundesliga,1.56,0.99,59.09
116,119,Mainz,German Bundesliga,1.75,1.16,59.07
117,108,Bologna,Italy Serie A,1.69,1.13,58.69
118,111,AZ,Dutch Eredivisie,1.85,1.27,58.64
119,125,West Bromwich Albion,Barclays Premier League,1.58,1.03,58.62
120,123,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
121,124,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
122,129,Nantes,French Ligue 1,1.51,0.98,58.25
123,107,Trabzonspor,Turkish Turkcell Super Lig,1.82,1.27,58.07
124,117,Feyenoord,Dutch Eredivisie,1.86,1.31,58
125,118,Palmeiras,Brasileiro Série A,1.5,0.99,57.97
126,128,Strasbourg,French Ligue 1,1.59,1.07,57.77
127,130,Tigres UANL,Mexican Primera Division Torneo Apertura,1.54,1.03,57.73
128,132,Rapid Vienna,Austrian T-Mobile Bundesliga,1.78,1.25,57.64
129,127,Angers,French Ligue 1,1.47,0.97,57.61
130,135,Metz,French Ligue 1,1.43,0.94,57.24
131,122,Galatasaray,Turkish Turkcell Super Lig,1.64,1.14,57.2
132,131,Torino,Italy Serie A,1.64,1.16,56.78
133,120,Ludogorets,UEFA Europa League,1.6,1.13,56.76
134,136,Schalke 04,German Bundesliga,1.61,1.14,56.59
135,134,FC Midtjylland,Danish SAS-Ligaen,1.66,1.19,56.35
136,138,Red Star Belgrade,UEFA Europa League,1.89,1.41,56.32
137,139,Santos,Brasileiro Série A,1.41,0.97,56.19
138,140,Maccabi Tel-Aviv,UEFA Europa League,1.5,1.05,56.16
139,133,Bodo/Glimt,Norwegian Tippeligaen,2.16,1.67,56.09
140,152,Alanyaspor,Turkish Turkcell Super Lig,1.62,1.17,56.02
141,137,Brest,French Ligue 1,1.62,1.17,56.02
142,148,Cagliari,Italy Serie A,1.59,1.15,55.92
143,142,Cruz Azul,Mexican Primera Division Torneo Apertura,1.6,1.16,55.73
144,146,Hapoel Be'er,UEFA Europa League,1.72,1.29,55.56
145,141,LASK Linz,Austrian T-Mobile Bundesliga,1.63,1.21,55.42
146,144,Sporting de Charleroi,Belgian Jupiler League,1.51,1.12,54.93
147,143,Malmo FF,Swedish Allsvenskan,1.65,1.25,54.84
148,147,Parma,Italy Serie A,1.63,1.24,54.81
149,175,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.5,1.12,54.76
150,151,Genoa,Italy Serie A,1.59,1.2,54.67
151,153,León,Mexican Primera Division Torneo Apertura,1.55,1.17,54.65
152,161,Ferencvaros,UEFA Champions League,1.62,1.24,54.34
153,145,Nimes,French Ligue 1,1.46,1.09,54.3
154,164,Fenerbahce,Turkish Turkcell Super Lig,1.6,1.23,54.19
155,155,Benevento,Italy Serie A,1.58,1.22,54.04
156,193,Antwerp,Belgian Jupiler League,1.63,1.27,53.96
157,149,St Etienne,French Ligue 1,1.4,1.06,53.91
